Transportation-Professional-Certification-Board,Irs501c3,25923,522089224,,DC
National-Film-Preservation-Foundation,Irs501c3,25950,522055624,,DC
Washington-Area-Women-S-Foundation,Irs501c3,25985,522028612,,DC
Kalorama-Citizens-Association,Irs501c3,25990,522033328,,DC
Friends-Of-Choice-In-Urban-Schools,Irs501c3,25992,522035104,,DC
Disabilityrightsintl,Irs501c3,25993,522035860,,DC
Good-Success,Irs501c3,25998,522039616,,DC
Dtsbco,Irs501c3,26008,522021448,,DC
Dbicolanos-And-Friends-Foundation,Irs501c3,26020,522004852,,DC
Richard-J-Fox-Foundation,Irs501c3,26042,521999068,,DC
Council-For-Higher-Education-Accreditation,Irs501c3,26065,521994352,,DC
Washington-Chiefs,Irs501c3,26075,521983852,,DC
Holy-Spirit-Of-God-Pentecostal-Church,Irs501c3,26080,521985184,,DC
Ka-Boom-,Irs501c3,26085,521970904,,DC
Citykids,Irs501c3,26092,521976304,,DC
Dupont-Park-Adventist-Apartments,Irs501c3,26093,521976532,,DC
Orange-Affordable-Housing,Irs501c3,26097,521977900,,DC
Washington-Interfaith-Network,Irs501c3,26140,521956696,,DC
Sequoia-Professional-Development-Corporation,Irs501c3,26164,521936944,,DC
Edgewood-Terrace-Preservation-Corporation,Irs501c3,26169,521939680,,DC
Recreation-Wish-List-Committee-Of-Washington-D-C,Irs501c3,26170,521939752,,DC
Center-For-Inspired-Teaching,Irs501c3,26177,521944180,,DC
Lazarus-House-Church,Irs501c3,26180,521928160,,DC
Foundation-For-Democracy-For-Africa,Irs501c3,26196,521921056,,DC
Sunflower-House,Irs501c3,26200,521922280,,DC
Hispanic-Bar-Association-Of-The-District-Of-Columbia-Foundation,Irs501c3,26206,521926348,,DC
Association-Of-Science-Technology-Centers,Irs501c3,26207,521926756,,DC
Efforts-Employment-For-Former-Offenders-Receiving-Treatment-Serv,Irs501c3,26220,521917192,,DC
National-Aids-Housing-Coalition,Irs501c3,26221,521917624,,DC
Southeast-Childrens-Fund,Irs501c3,26224,521905720,,DC
Kennedy-Institute-Housing-Corporation,Irs501c3,26236,521910220,,DC
The-Embassy-Of-The-Kingdom-Of-God,Irs501c3,26243,521898964,,DC
Employment-Policies-Institute-Foundation,Irs501c3,26251,521902264,,DC
Consortium-For-Ocean-Leadership,Irs501c3,26271,521892964,,DC
The-Community-Housing-Trust,Irs501c3,26272,521882980,,DC
African-American-Heritage-Preservation-Foundation,Irs501c3,26292,521878744,,DC
National-Association-Of-Broadcasters-Education-Foundation,Irs501c3,26305,521866840,,DC
The-Ship-Of-Zion-Missionary-Baptist-Church,Irs501c3,26310,521870416,,DC
Fund-For-The-Future-Of-Our-Children,Irs501c3,26312,521871964,,DC
Mpreaso-Union-Of-North-America,Irs501c3,26315,521873752,,DC
Servicemembers-Legal-Defense-Network,Irs501c3,26353,521845000,,DC
Community-Education-Group,Irs501c3,26364,521853388,,DC
National-Black-Nurses-Association,Irs501c3,26383,521832376,,DC
American-Kurdish-Information-Network,Irs501c3,26388,521834260,,DC
Gay-And-Lesbian-Leadership-Institute,Irs501c3,26391,521835268,,DC
Lincolntheatre,Irs501c3,26396,521837836,,DC
Operation-Understanding-Of-The-District-Of-Columbia,Irs501c3,26397,521822488,,DC
The-African-Diaspora-Ancestral-Commemoration-Institute,Irs501c3,26401,521827144,,DC
American-Australian-Education-Leadership-Foundation,Irs501c3,26424,521821180,,DC
Institute-For-Science-And-International-Security,Irs501c3,26440,521809804,,DC
Trees-For-The-Planet,Irs501c3,26450,521800372,,DC
Super-Leaders-Incorporated,Irs501c3,26459,521791312,,DC
Foundation-For-The-National-Archives,Irs501c3,26465,521792608,,DC
Dent-Place-Association,Irs501c3,26523,521773672,,DC
United-States-International-Council-On-Disabilities,Irs501c3,26543,521766832,,DC
Hungarian-American-Coalition,Irs501c3,26546,521768656,,DC
Victory-Christian-Baptist-Church,Irs501c3,26575,521759344,,DC
Circle-Foundation,Irs501c3,26578,521760808,,DC
Cbdc,Irs501c3,26579,521761312,,DC
Institute-For-Applied-Spiritual-Technology,Irs501c3,26582,521761720,,DC
Center-For-Mind-Body-Medicine,Irs501c3,26592,521755744,,DC
Training-Officers-Conference,Irs501c3,26595,521756128,,DC
Ledcmetro,Irs501c3,26607,521749216,,DC
African-American-Catholic-Congregation,Irs501c3,26608,521749288,,DC
Friends-Of-The-National-Journalism-Library,Irs501c3,26611,521750908,,DC
Conference-On-Asian-Pacific-American-Leadership,Irs501c3,26617,521739376,,DC
Creative-Opera-Ensemble,Irs501c3,26624,521742796,,DC
Ilsi-North-America,Irs501c3,26629,521745052,,DC
Friends-Of-Fillmore-Arts-Center,Irs501c3,26646,521737996,,DC
National-Fund-For-Us-Botanic-Garden,Irs501c3,26650,521722096,,DC
Volunteers-For-Abused-And-Neglected-Children,Irs501c3,26658,521726764,,DC
World-Bank-Family-Network-Book-Project,Irs501c3,26689,521708320,,DC
Yachad,Irs501c3,26695,521698588,,DC
Solar-Electric-Light-Fund,Irs501c3,26703,521701564,,DC
New-Commandment-Baptist-Church,Irs501c3,26722,521696188,,DC
St-Job-Baptist-Church,Irs501c3,26726,521698120,,DC
National-Fair-Housing-Alliance,Irs501c3,26747,521676364,,DC
Institute-For-Experiential-Learning,Irs501c3,26748,521677432,,DC
Dupont-Circle-Club,Irs501c3,26761,521661328,,DC
Janney-Elementary-School-Pta,Irs501c3,26762,521661964,,DC
Pediatric-Aids-Hiv-Care,Irs501c3,26763,521662564,,DC
St-John-Baptist-Church-Of-Marshall-Heights-Southeast,Irs501c3,26766,521665816,,DC
Deaf-Reach-Housing,Irs501c3,26768,521665984,,DC
Fdr-Conferences,Irs501c3,26787,521659996,,DC
American-Tax-Policy-Institute,Irs501c3,26789,521660704,,DC
Environmental-Investigation-Agency,Irs501c3,26806,521654284,,DC
The-Institute-For-Financial-Markets,Irs501c3,26832,521634508,,DC
Theladiesofimani,Irs501c3,26834,521635552,,DC
Coalition-Of-Heritable-Disorders-Of-Connective-Tissues,Irs501c3,26853,521627116,,DC
National-Spiritualist-Association-Of-Churches-4,Irs501c3,26864,521608492,,DC
Center-For-Security-Policy,Irs501c3,26886,521601976,,DC
D-C-Habitat-For-Humanity,Irs501c3,26892,521589700,,DC
American-Psychological-Association,Irs501c3,26907,521574544,,DC
Dc-Central-Kitchen,Irs501c3,26921,521584936,,DC
American-Psychological-Association-1,Irs501c3,26926,521563972,,DC
American-Psychological-Association-2,Irs501c3,26927,521563996,,DC
Smithsonian-Early-Enrichment-Center,Irs501c3,26980,521545108,,DC
Bethlehem-House,Irs501c3,26982,521546272,,DC
Institute-For-Women-S-Policy-Research,Irs501c3,26984,521549572,,DC
Communications-Consortium-Media-Center,Irs501c3,27014,521524972,,DC
Freedomworks-Foundation,Irs501c3,27015,521526916,,DC
Association-Of-Maternal-And-Child-Health-Programs,Irs501c3,27017,521529448,,DC
Public-Access-Corporation-Of-The-District-Of-Columbia,Irs501c3,27023,521509144,,DC
Dccadv,Irs501c3,27032,521515600,,DC
National-Organization-Of-Black-Law-Enforcement-Executives-Noble-2,Irs501c3,27041,521497588,,DC
The-Jefferson-Energy-Foundation,Irs501c3,27062,521492176,,DC
Iglesia-Del-Dios-Vivo-Columna-Y-Apoyo-De-La-Verdad-La-Luz-Del-Mund,Irs501c3,27065,521495044,,DC
Center-For-Clean-Air-Policy,Irs501c3,27145,521423164,,DC
Ram-The-Reed-Cooke-Neighborhood-Association,Irs501c3,27149,521389612,,DC
Communitas,Irs501c3,27154,521397424,,DC
His-Church-1,Irs501c3,27176,521387440,,DC
Association-For-The-Preservation-And-Presentation-Of-The-Arts,Irs501c3,27187,521374108,,DC
Kappa-Scholarship-Endowment-Fund,Irs501c3,27202,521366872,,DC
Unity-Universal-Church,Irs501c3,27214,521354392,,DC
American-Associates-Of-Mozarteum-Brasileiro,Irs501c3,27223,521358592,,DC
Institute-For-Clinical-Research,Irs501c3,27252,521336656,,DC
Delta-Research-And-Educational-Foundation,Irs501c3,27255,521338072,,DC
Stoddert-Soccer-League,Irs501c3,27258,521340436,,DC
Management-Assistance-Group,Irs501c3,27300,521305780,,DC
The-Better-Life-Institute,Irs501c3,27307,521308636,,DC
Arab-Womens-Coucil-Research,Irs501c3,27309,521309260,,DC
Council-Of-American-Ambassadors,Irs501c3,27312,521296972,,DC
American-Society-For-Deaf-Children,Irs501c3,27314,521297104,,DC
Rebuildingtogetherdc,Irs501c3,27317,521299048,,DC
American-Conservative-Union-Foundation,Irs501c3,27334,521294680,,DC
Alpha-Sigma-Phi-Alumni-Assn-Beta-Chi-Chap-Memorial-Scholarship-Fund,Irs501c3,27384,521284528,,DC
Atlantic-And-Pacific-Exchange-Program,Irs501c3,27423,521277448,,DC
The-William-G-Congdon-Foundation,Irs501c3,27433,521271472,,DC
Public-Citizen-Foundation,Irs501c3,27471,521263996,,DC
The-Lincoln-Group-Of-The-District-Of-Columbia,Irs501c3,27475,521266576,,DC
National-Coalition-On-Black-Civic-Participation,Irs501c3,27485,521253112,,DC
Center-For-The-Study-Of-Social-Policy,Irs501c3,27491,521254948,,DC
United-Pentecostal-Assembly-Church,Irs501c3,27515,521238376,,DC
The-Washington-Society-For-Close-Harmony-Singing,Irs501c3,27519,521241760,,DC
Woollymammothtc,Irs501c3,27525,521242900,,DC
Americanforestfoundation,Irs501c3,27540,521235124,,DC
Refugees-International,Irs501c3,27560,521224516,,DC
Associates-For-Ideal-Education,Irs501c3,27572,521227624,,DC
Lowell-School,Irs501c3,27586,521220544,,DC
Washington-Volunteer-Readers-For-The-Blind,Irs501c3,27599,521207116,,DC
Jenkins-Hill-Child-Development-Center,Irs501c3,27602,521208292,,DC
Helping-Children-Grow,Irs501c3,27611,521194012,,DC
Caribbean-Central-American-Action,Irs501c3,27614,521195524,,DC
Joint-National-Committee-For-Languages,Irs501c3,27628,521180656,,DC
Washington-Artsgroup,Irs501c3,27629,521181388,,DC
